SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SWARAJ,Swaraj Suiting Limited,SM,28-Mar-22,10,INE0GMR01016,10,
COOLCAPS,Cool Caps Industries Limited,SM,24-Mar-22,10,INE0HS001010,10,
SPRL,Sp Refractories Limited,ST,22-Mar-22,10,INE0JW501011,10,
SHIGAN,Shigan Quantum Technologies Limited,SM,11-Mar-22,10,INE03KJ01013,10,
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,SM,23-Feb-22,10,INE0JR301013,10,
RICHA,Richa Info Systems Limited,SM,21-Feb-22,10,INE0J1P01015,10,
PRECISION,Precision Metaliks Limited,SM,01-Feb-22,10,INE0HKW01018,10,
TIMESCAN,Timescan Logistics (India) Limited,SM,12-Jan-22,10,INE0IJY01014,10,
ABCOTS,A B Cotspin India Limited,SM,11-Jan-22,10,INE08PH01015,10,
VIVO,Vivo Collaboration Solutions Limited,SM,31-Dec-21,10,INE0IA701014,10,
FOCE,Foce India Limited,SM,28-Dec-21,10,INE0I7D01019,10,
EUROBOND,Euro Panel Products Limited,SM,24-Dec-21,10,INE505V01016,10,
NIDAN,Nidan Laboratories and Healthcare Limited,SM,12-Nov-21,10,INE0J6L01013,10,
KOTYARK,Kotyark Industries Limited,SM,02-Nov-21,10,INE0J0B01017,10,
DKEGL,D.K. Enterprises Global Limited,SM,22-Oct-21,10,INE0GN101014,10,
DYNAMIC,Dynamic Services & Security Limited,SM,13-Oct-21,10,INE0DZ701010,10,
DESTINY,Destiny Logistics & Infra Limited,ST,13-Oct-21,10,INE0IGO01011,10,
BMETRICS,Bombay Metrics Supply Chain Limited,SM,12-Oct-21,10,INE0I3Y01014,10,
JAINAM,Jainam Ferro Alloys (I) Limited,SM,08-Oct-21,10,INE02KC01010,10,
QUADPRO,Quadpro Ites Limited,SM,30-Sep-21,2,INE0GOJ01027,2,
